,RT_high,RT_low,ACC_high,ACC_low,workerId
0,1129.25,1144.5737704918033,0.9702380952380952,0.96875,40596
1,805.5394736842105,760.0175438596491,0.9404761904761905,0.9682539682539683,40597
2,1099.3636363636363,1007.8545454545455,0.9404761904761905,0.890625,40621
3,1626.8947368421052,1543.0,0.95,1.0,37179
4,1329.6346153846155,1349.4827586206898,0.9523809523809523,0.9365079365079365,37181
5,1273.8251748251748,1272.842105263158,0.8579881656804734,0.9365079365079365,37182
6,1317.974025974026,1350.9661016949153,0.9408284023668639,0.9523809523809523,37183
7,1373.3006535947713,1355.5272727272727,0.9226190476190477,0.9047619047619048,37184
8,780.3076923076923,801.0169491525423,0.9644970414201184,0.9523809523809523,37189
9,1361.6172839506173,1356.949152542373,0.9644970414201184,0.9682539682539683,37190
10,1041.8506493506493,1130.122807017544,0.9404761904761905,0.9206349206349206,37191
11,1570.2432432432433,1582.1724137931035,0.9166666666666666,0.9365079365079365,37192
12,1373.7142857142858,1416.0701754385964,0.9881656804733728,0.9365079365079365,37193
13,711.9929078014185,798.0188679245283,0.8579881656804734,0.8412698412698413,37194
14,1117.516339869281,1111.357142857143,0.9404761904761905,0.9047619047619048,37195
15,1196.6474358974358,1265.5901639344263,0.9642857142857143,1.0,37196
16,932.7261146496816,959.9090909090909,0.9642857142857143,0.9047619047619048,37199
17,1245.5632911392406,1200.9636363636364,0.9523809523809523,0.9047619047619048,37200
18,912.9183673469388,868.5,0.8994082840236687,0.9047619047619048,37201
19,1256.5192307692307,1181.396551724138,0.9523809523809523,0.9523809523809523,37202
20,1063.1572327044025,1089.9285714285713,0.9585798816568047,0.9047619047619048,37203
21,1068.3949044585988,998.1864406779661,0.9526627218934911,0.9682539682539683,37205
