,RT_low,RT_high_1,ACC_low,ACC_high_1,dis_con,workerId
0,943.7619047619048,819.5430463576159,0.875,0.9285714285714286,"[1, 2, 3, 4]",40588
1,710.5909090909091,607.0472972972973,0.9583333333333334,0.9166666666666666,"[5, 6, 7, 8]",40588
2,978.7083333333334,962.320652173913,1.0,0.8703703703703703,"[1, 2, 3, 4]",40591
3,751.2727272727273,703.1329787234042,0.9166666666666666,0.8986175115207373,"[5, 6, 7, 8]",40591
4,1279.391304347826,1081.2697368421052,0.9583333333333334,0.9285714285714286,"[1, 2, 3, 4]",40238
5,881.8695652173913,916.19375,1.0,0.9702380952380952,"[5, 6, 7, 8]",40238
6,1517.9565217391305,1476.264705882353,0.9583333333333334,0.9629629629629629,"[1, 2, 3, 4]",40239
7,1572.75,1395.1057692307693,1.0,0.967741935483871,"[5, 6, 7, 8]",40239
8,927.2941176470588,1002.7521367521367,0.75,0.7261904761904762,"[1, 2, 3, 4]",40496
9,734.5,664.9214285714286,0.8333333333333334,0.8579881656804734,"[5, 6, 7, 8]",40496
10,1330.5217391304348,1242.6153846153845,0.9583333333333334,0.9166666666666666,"[1, 2, 3, 4]",40241
11,1088.875,1018.9660194174758,1.0,0.9585253456221198,"[5, 6, 7, 8]",40241
12,849.8181818181819,799.843137254902,0.9583333333333334,0.9345238095238095,"[1, 2, 3, 4]",40242
13,719.0,637.8441558441558,0.875,0.9467455621301775,"[5, 6, 7, 8]",40242
14,1300.3333333333333,1305.3589743589744,0.9166666666666666,0.9212962962962963,"[1, 2, 3, 4]",40243
15,1052.7619047619048,910.7989949748744,0.875,0.9354838709677419,"[5, 6, 7, 8]",40243
16,1628.55,1652.9831460674156,0.8333333333333334,0.8287037037037037,"[1, 2, 3, 4]",40501
17,1245.304347826087,1333.3756345177665,0.9583333333333334,0.9262672811059908,"[5, 6, 7, 8]",40501
18,1017.9565217391304,1035.7586206896551,1.0,0.875,"[1, 2, 3, 4]",40502
19,632.6,656.9731543624162,1.0,0.8994082840236687,"[5, 6, 7, 8]",40502
20,852.1,912.8486486486487,0.8333333333333334,0.8842592592592593,"[1, 2, 3, 4]",40245
21,711.5714285714286,655.695652173913,0.88,0.8888888888888888,"[5, 6, 7, 8]",40245
22,758.5454545454545,745.5748792270531,0.9583333333333334,0.9953703703703703,"[1, 2, 3, 4]",40249
23,732.1304347826087,704.4088669950739,1.0,0.9585253456221198,"[5, 6, 7, 8]",40249
24,1821.8095238095239,1719.0,0.875,0.9047619047619048,"[1, 2, 3, 4]",40250
25,946.9583333333334,1014.6463414634146,1.0,0.9880952380952381,"[5, 6, 7, 8]",40250
26,1076.6521739130435,1089.8970588235295,1.0,0.9768518518518519,"[1, 2, 3, 4]",40521
27,896.695652173913,888.8285714285714,1.0,0.9953917050691244,"[5, 6, 7, 8]",40521
28,1074.391304347826,1024.503448275862,0.9583333333333334,0.8928571428571429,"[1, 2, 3, 4]",40522
29,671.15,660.0507246376811,0.875,0.8461538461538461,"[5, 6, 7, 8]",40522
30,1081.875,1071.28025477707,1.0,0.9642857142857143,"[1, 2, 3, 4]",40270
31,815.2272727272727,827.9113924050633,0.92,0.9644970414201184,"[5, 6, 7, 8]",40270
32,1762.4761904761904,1672.6582278481012,0.9166666666666666,0.9642857142857143,"[1, 2, 3, 4]",40536
33,1466.8181818181818,1310.0377358490566,0.9166666666666666,0.9704142011834319,"[5, 6, 7, 8]",40536
34,1091.2173913043478,893.7958115183246,0.9583333333333334,0.9166666666666666,"[1, 2, 3, 4]",40541
35,715.6818181818181,679.969387755102,0.9583333333333334,0.9308755760368663,"[5, 6, 7, 8]",40541
36,1135.0833333333333,1130.1025641025642,1.0,0.9404761904761905,"[1, 2, 3, 4]",40542
37,782.6086956521739,780.1132075471698,1.0,0.9704142011834319,"[5, 6, 7, 8]",40542
38,1201.695652173913,1199.4030612244899,1.0,0.9212962962962963,"[1, 2, 3, 4]",40565
39,854.375,886.7868020304569,1.0,0.9216589861751152,"[5, 6, 7, 8]",40565
40,1661.15,1585.1851851851852,0.8333333333333334,0.7685185185185185,"[1, 2, 3, 4]",40699
41,1113.7142857142858,1087.5416666666667,0.9583333333333334,0.9262672811059908,"[5, 6, 7, 8]",40699
42,1133.8823529411766,1120.9391891891892,0.7083333333333334,0.8988095238095238,"[1, 2, 3, 4]",40700
43,961.7727272727273,834.328947368421,0.9583333333333334,0.9345238095238095,"[5, 6, 7, 8]",40700
