,RT_high,RT_low,ACC_high,ACC_low,workerId
0,999.0903226,1026.929825,0.946745562,0.936507937,36885
1,886.63125,900.3833333,0.976331361,0.984126984,36886
2,1150.36129,1155.724138,0.946745562,0.952380952,36887
3,1190.235294,1214.909091,0.833333333,0.875,36888
4,1347.610738,1310.101695,0.905325444,0.952380952,36890
5,1418.100629,1305.796296,0.958579882,0.888888889,36891
6,1073.3625,1101.355932,0.964285714,0.952380952,36892
7,1317.237762,1337.773585,0.869047619,0.857142857,36894
8,852.6948052,800.3220339,0.952380952,0.984126984,36896
9,1227.727273,1211.322034,0.863905325,0.936507937,40609
10,793.1962025,773.6885246,0.964497041,0.984126984,40610
11,1053.534351,1088.979592,0.791666667,0.78125,40611
12,783.8670886,696.7758621,0.970414201,0.968253968,40612
13,612.0188679,605.8245614,0.964497041,0.952380952,36898
14,1711.320513,1650.459016,0.928571429,0.96875,36897
15,1019.586667,1063.034483,0.905325444,0.936507937,40620
16,1295.806452,1446.125,0.941176471,1,36830
17,1180.809211,1337.137255,0.940828402,0.825396825,36839
18,1394.628571,1407.345455,0.846153846,0.888888889,36841
19,1108.72973,1199.083333,0.905325444,0.952380952,36843
20,1216.186667,1099.240741,0.899408284,0.888888889,36845
21,1407.828947,1398.350877,0.917159763,0.904761905,36847
,1129.25,1144.57377,0.970238095,0.96875,40596
,805.5394737,760.0175439,0.94047619,0.968253968,40597
,1099.363636,1007.854545,0.94047619,0.890625,40621
,1626.894737,1543,0.95,1,37179
,1329.634615,1349.482759,0.952380952,0.936507937,37181
,1273.825175,1272.842105,0.857988166,0.936507937,37182
,1317.974026,1350.966102,0.940828402,0.952380952,37183
,1373.300654,1355.527273,0.922619048,0.904761905,37184
,780.3076923,801.0169492,0.964497041,0.952380952,37189
,1361.617284,1356.949153,0.964497041,0.968253968,37190
,1041.850649,1130.122807,0.94047619,0.920634921,37191
,1570.243243,1582.172414,0.916666667,0.936507937,37192
,1373.714286,1416.070175,0.98816568,0.936507937,37193
,711.9929078,798.0188679,0.857988166,0.841269841,37194
,1117.51634,1111.357143,0.94047619,0.904761905,37195
,1196.647436,1265.590164,0.964285714,1,37196
,932.7261146,959.9090909,0.964285714,0.904761905,37199
,1245.563291,1200.963636,0.952380952,0.904761905,37200
,912.9183673,868.5,0.899408284,0.904761905,37201
,1256.519231,1181.396552,0.952380952,0.952380952,37202
,1063.157233,1089.928571,0.958579882,0.904761905,37203
,1068.394904,998.1864407,0.952662722,0.968253968,37205
